observation_date,USSLIND
7/1/2002,1.12
8/1/2002,0.91
9/1/2002,0.97
10/1/2002,0.88
11/1/2002,0.72
12/1/2002,0.66
1/1/2003,0.91
2/1/2003,0.69
3/1/2003,0.47
4/1/2003,0.26
5/1/2003,0.47
6/1/2003,0.56
7/1/2003,0.93
8/1/2003,1.13
9/1/2003,1.49
10/1/2003,1.56
11/1/2003,1.53
12/1/2003,1.78
1/1/2004,1.51
2/1/2004,1.47
3/1/2004,1.61
4/1/2004,1.64
5/1/2004,1.8
6/1/2004,1.53
7/1/2004,1.57
8/1/2004,1.47
9/1/2004,1.38
10/1/2004,1.38
11/1/2004,1.5
12/1/2004,1.37
1/1/2005,1.16
2/1/2005,1.54
3/1/2005,1.39
4/1/2005,1.64
5/1/2005,1.31
6/1/2005,1.67
7/1/2005,1.68
8/1/2005,1.78
9/1/2005,1.3
10/1/2005,1.35
11/1/2005,1.51
12/1/2005,1.7
1/1/2006,1.85
2/1/2006,1.62
3/1/2006,1.58
4/1/2006,1.43
5/1/2006,1.08
6/1/2006,1.13
7/1/2006,0.72
8/1/2006,1.01
9/1/2006,0.88
10/1/2006,1.08
11/1/2006,0.82
12/1/2006,1
1/1/2007,1.28
2/1/2007,1.09
3/1/2007,1.34
4/1/2007,1.04
5/1/2007,1.21
6/1/2007,0.7
7/1/2007,0.51
8/1/2007,0.55
9/1/2007,0.4
10/1/2007,0.61
11/1/2007,0.43
12/1/2007,0.25
1/1/2008,0.41
2/1/2008,0.32
3/1/2008,0.19
4/1/2008,0.18
5/1/2008,0
6/1/2008,-0.12
7/1/2008,-0.41
8/1/2008,-0.79
9/1/2008,-0.6
10/1/2008,-1.18
11/1/2008,-1.77
12/1/2008,-1.88
1/1/2009,-2.32
2/1/2009,-2.29
3/1/2009,-2.65
4/1/2009,-2.21
5/1/2009,-1.29
6/1/2009,-0.77
7/1/2009,-0.21
8/1/2009,-0.06
9/1/2009,0.3
10/1/2009,0.17
11/1/2009,0.46
12/1/2009,0.65
1/1/2010,0.54
2/1/2010,0.76
3/1/2010,1.1
4/1/2010,1.14
5/1/2010,1.42
6/1/2010,1.45
7/1/2010,1.41
8/1/2010,0.89
9/1/2010,0.51
10/1/2010,0.79
11/1/2010,1.4
12/1/2010,1.52
1/1/2011,1.43
2/1/2011,1.49
3/1/2011,1.65
4/1/2011,1.53
5/1/2011,1.3
6/1/2011,1.23
7/1/2011,1.31
8/1/2011,1.64
9/1/2011,1.38
10/1/2011,1.56
11/1/2011,1.81
12/1/2011,1.73
1/1/2012,1.97
2/1/2012,1.89
3/1/2012,1.94
4/1/2012,1.82
5/1/2012,1.73
6/1/2012,1.5
7/1/2012,1.47
8/1/2012,1.44
9/1/2012,1.62
10/1/2012,1.82
11/1/2012,1.37
12/1/2012,1.58
1/1/2013,1.71
2/1/2013,2
3/1/2013,1.8
4/1/2013,1.71
5/1/2013,1.67
6/1/2013,1.56
7/1/2013,1.54
8/1/2013,1.67
9/1/2013,1.75
10/1/2013,1.39
11/1/2013,1.54
12/1/2013,1.5
1/1/2014,1.85
2/1/2014,1.41
3/1/2014,1.49
4/1/2014,1.79
5/1/2014,1.85
6/1/2014,1.95
7/1/2014,1.92
8/1/2014,1.74
9/1/2014,1.97
10/1/2014,2.04
11/1/2014,1.74
12/1/2014,2.02
1/1/2015,1.7
2/1/2015,1.7
3/1/2015,1.7
4/1/2015,1.71
5/1/2015,1.89
6/1/2015,1.68
7/1/2015,1.84
8/1/2015,1.76
9/1/2015,1.78
10/1/2015,1.59
11/1/2015,1.55
12/1/2015,1.63
1/1/2016,1.4
2/1/2016,1.72
3/1/2016,1.61
4/1/2016,1.56
5/1/2016,1.43
6/1/2016,1.45
7/1/2016,1.5
8/1/2016,1.54
9/1/2016,1.36
10/1/2016,1.27
11/1/2016,1.7
12/1/2016,1.62
1/1/2017,1.73
2/1/2017,1.58
3/1/2017,1.73
4/1/2017,1.59
5/1/2017,1.42
6/1/2017,1.52
7/1/2017,1.43
8/1/2017,1.39
9/1/2017,1.2
10/1/2017,1.59
11/1/2017,1.45
12/1/2017,1.48
1/1/2018,1.55
2/1/2018,1.66
3/1/2018,1.69
4/1/2018,1.59
5/1/2018,1.57
6/1/2018,1.55
7/1/2018,1.36
8/1/2018,1.46
9/1/2018,1.25
10/1/2018,1.31
11/1/2018,1
12/1/2018,0.99
1/1/2019,1
2/1/2019,1.1
3/1/2019,1.2
4/1/2019,1.4
5/1/2019,1.38
6/1/2019,1.11
7/1/2019,1.3
8/1/2019,1.32
9/1/2019,1.5
10/1/2019,1.41
11/1/2019,1.38
12/1/2019,1.48
1/1/2020,1.57
2/1/2020,1.72
